circuit,n_seeds,unpaired_0,paired_0,unpaired_0.02,paired_0.02,unpaired_0.05,paired_0.05,unpaired_0.1,paired_0.1,unpaired_0.15,paired_0.15,unpaired_0.2,paired_0.2,unpaired_0.3,paired_0.3
32,12,0.0,0.0,0.0,0.0,0.0,0.0,0.542,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adder_n118,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5627,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adder_n28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.7703,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adder_n433,12,0.0,0.0,0.0,0.0,0.0,0.0,0.562,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adder_n64,12,0.0,0.0,0.0,0.0,0.0,0.0,0.544,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bv_n140,12,0.2937,0.0,0.3497,0.0,0.353,0.0,0.559,1.0,0.6253,1.0,0.7083,1.0,0.801,1.0
bv_n280,12,0.0,0.0,0.0,0.0,0.0,0.0,0.7653,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bv_n30,12,0.205,0.0,0.2853,0.0,0.3553,0.0,0.6143,1.0,0.6263,1.0,0.7947,1.0,0.9007,1.0
bv_n70,12,0.231,0.0,0.29,0.0,0.3027,0.0,0.563,1.0,0.6873,1.0,0.7597,1.0,0.8343,1.0
cat_n130,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n260,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n35,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n65,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cc_n151,12,0.0,0.0,0.0,0.0,0.0,0.0,0.7853,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cc_n301,12,0.0,0.0,0.0,0.0,0.0,0.0,0.755,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cc_n32,12,0.092,0.0,0.1493,0.0,0.204,0.0,0.5787,1.0,0.7557,1.0,0.8743,1.0,0.927,1.0
cc_n64,12,0.0827,0.0,0.0777,0.0,0.0773,0.0,0.7287,1.0,0.9227,1.0,0.926,1.0,0.9163,1.0
dnn_n33,12,0.0,0.0,0.0,0.0,0.014,0.0,0.607,1.0,0.9883,1.0,1.0,1.0,1.0,1.0
