circuit,n_seeds,unpaired_0,paired_0,unpaired_0.02,paired_0.02,unpaired_0.05,paired_0.05,unpaired_0.1,paired_0.1,unpaired_0.15,paired_0.15,unpaired_0.2,paired_0.2,unpaired_0.3,paired_0.3
32,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5083,0.6473,1.0,1.0,1.0,1.0,1.0,1.0
adder_n118,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4957,0.7727,1.0,1.0,1.0,1.0,1.0,1.0
adder_n28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5147,0.677,1.0,1.0,1.0,1.0,1.0,1.0
adder_n433,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4927,0.8477,1.0,1.0,1.0,1.0,1.0,1.0
adder_n64,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5097,0.7473,1.0,1.0,1.0,1.0,1.0,1.0
bv_n140,12,0.0547,0.0,0.0947,0.0,0.2083,0.0,0.5157,0.781,0.7873,1.0,0.9357,1.0,0.9977,1.0
bv_n280,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5433,0.5933,1.0,1.0,1.0,1.0,1.0,1.0
bv_n30,12,0.0243,0.0,0.058,0.0,0.1763,0.0,0.518,0.6657,0.815,1.0,0.961,1.0,1.0,1.0
bv_n70,12,0.029,0.0,0.0597,0.0,0.167,0.0,0.5033,0.7933,0.816,1.0,0.9597,1.0,1.0,1.0
cat_n130,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n260,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n35,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n65,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cc_n151,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5073,0.6077,1.0,1.0,1.0,1.0,1.0,1.0
cc_n301,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4837,0.299,1.0,1.0,1.0,1.0,1.0,1.0
cc_n32,12,0.0097,0.0,0.0367,0.0,0.117,0.0,0.5033,0.7957,0.88,1.0,0.9747,1.0,0.9993,1.0
cc_n64,12,0.0233,0.0,0.077,0.0,0.1013,0.0,0.51,0.5657,0.892,1.0,0.9783,1.0,0.9993,1.0
dnn_n33,12,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.8573,1.0,1.0,1.0,1.0,1.0,1.0
dnn_n51,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4957,0.7637,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n127,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n40,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n78,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_state_n255,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n34,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
