circuit,n_seeds,unpaired_0,paired_0,unpaired_0.02,paired_0.02,unpaired_0.05,paired_0.05,unpaired_0.1,paired_0.1,unpaired_0.15,paired_0.15,unpaired_0.2,paired_0.2,unpaired_0.3,paired_0.3
32,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5037,0.944,1.0,1.0,1.0,1.0,1.0,1.0
adder_n118,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5253,0.8993,1.0,1.0,1.0,1.0,1.0,1.0
adder_n28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.667,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adder_n433,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5117,0.7837,1.0,1.0,1.0,1.0,1.0,1.0
adder_n64,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5133,0.89,1.0,1.0,1.0,1.0,1.0,1.0
bv_n140,12,0.174,0.0,0.2387,0.0,0.331,0.0,0.5017,0.6907,0.6633,1.0,0.799,1.0,0.94,1.0
bv_n280,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5977,0.792,1.0,1.0,1.0,1.0,1.0,1.0
bv_n30,12,0.1263,0.0,0.1883,0.0,0.29,0.0,0.5037,0.8917,0.7093,1.0,0.8413,1.0,0.9707,1.0
bv_n70,12,0.1503,0.0,0.2007,0.0,0.298,0.0,0.5203,0.848,0.6953,1.0,0.8273,1.0,0.9733,1.0
cat_n130,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n260,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n35,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n65,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cc_n151,12,0.0,0.0,0.0,0.0,0.0,0.0,0.6227,0.7743,1.0,1.0,1.0,1.0,1.0,1.0
cc_n301,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5273,0.6287,1.0,1.0,1.0,1.0,1.0,1.0
cc_n32,12,0.1183,0.0,0.1557,0.0,0.194,0.0,0.5207,0.8437,0.7753,1.0,0.8523,1.0,0.9827,1.0
