circuit,n_seeds,unpaired_0,paired_0,unpaired_0.02,paired_0.02,unpaired_0.05,paired_0.05,unpaired_0.1,paired_0.1,unpaired_0.15,paired_0.15,unpaired_0.2,paired_0.2,unpaired_0.3,paired_0.3
32,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5133,0.9483,1.0,1.0,1.0,1.0,1.0,1.0
adder_n118,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5037,0.8937,1.0,1.0,1.0,1.0,1.0,1.0
adder_n28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.5493,1.0,1.0,1.0,1.0,1.0,1.0
adder_n433,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5077,0.024,1.0,1.0,1.0,1.0,1.0,1.0
adder_n64,12,0.0,0.0,0.0,0.0,0.0,0.0,0.493,0.5557,1.0,1.0,1.0,1.0,1.0,1.0
bv_n140,12,0.0,0.0,0.0017,0.0,0.0343,0.0,0.5127,0.1637,0.9583,1.0,1.0,1.0,1.0,1.0
bv_n280,12,0.0,0.0,0.0,0.0,0.0,0.0,0.537,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bv_n30,12,0.0003,0.0,0.0,0.0,0.02,0.0,0.5067,0.888,0.983,1.0,1.0,1.0,1.0,1.0
bv_n70,12,0.0,0.0,0.0007,0.0,0.0207,0.0,0.5,0.326,0.9803,1.0,1.0,1.0,1.0,1.0
cat_n130,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n260,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n35,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat_n65,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cc_n151,12,0.0,0.0,0.0,0.0,0.0,0.0,0.534,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cc_n301,12,0.0,0.0,0.0,0.0,0.0,0.0,0.545,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cc_n32,12,0.0,0.0,0.0,0.0,0.0043,0.0,0.512,0.559,0.99,1.0,1.0,1.0,1.0,1.0
cc_n64,12,0.0,0.0,0.0003,0.0,0.0173,0.0,0.5153,1.0,0.9767,1.0,1.0,1.0,1.0,1.0
dnn_n33,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5113,0.8093,1.0,1.0,1.0,1.0,1.0,1.0
dnn_n51,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5013,0.0187,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n127,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n40,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_n78,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ghz_state_n255,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n34,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n42,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n420,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n66,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ising_n98,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_129,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4413,0.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_341,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4533,0.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_n31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_n41,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_n67,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
multiplier_n45,12,0.0,0.0,0.0,0.0,0.0,0.0,0.4963,0.975,1.0,1.0,1.0,1.0,1.0,1.0
multiplier_n75,12,0.0,0.0,0.0,0.0,0.0,0.0,0.514,0.286,1.0,1.0,1.0,1.0,1.0,1.0
qft_n160,12,0.0,0.0,0.0,0.0,0.0,0.0,0.501,0.9107,1.0,1.0,1.0,1.0,1.0,1.0
